First author	Study accession	Publication date	Journal	Title	Reported trait	Trait(s)	Discovery sample description	Replication sample description	Association count	Population	Include
Tomer Y	GCST002876	4/27/15	J Autoimmun	Genome wide identification of new genes and pathways in patients with both autoimmune thyroiditis and type 1 diabetes.	Type 1 diabetes and autoimmune thyroid diseases	"autoimmune thyroid disease, type i diabetes mellitus"	346 European ancestry cases727 European ancestry controls	185 European ancestry cases340 European ancestry controls	11	EUR	1
Sandholm N	GCST002182	9/12/13	J Am Soc Nephrol	Chromosome 2q31.1 associates with ESRD in women with type 1 diabetes.	End-stage renal disease in Type 1 diabetics	"type i diabetes mellitus, chronic kidney disease"	258 European ancestry female cases935 European ancestry female controls387 European ancestry male cases655 European ancestry male controls	178 European ancestry female cases594 European ancestry female controls251 European ancestry male cases494 European ancestry male controls252 female cases479 female controls256 male cases342 male controls	1	EUR	1
Bradfield JP	GCST001255	9/29/11	PLoS Genet	A genome-wide meta-analysis of six type 1 diabetes cohorts identifies multiple associated loci.	Type 1 diabetes	type i diabetes mellitus	"9,934 European ancestry cases16,956 European ancestry controls"	"1,120 European ancestry affected trios"	9	EUR	1
Plagnol V	GCST001191	8/4/11	PLoS Genet	Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.	Type 1 diabetes	type i diabetes mellitus	"8,506 European ancestry casesup to 10,596 European ancestry controls"	NA	22	EUR	1
Cooper JD	GCST000258	11/2/08	Nat Genet	Meta-analysis of genome-wide association study data identifies additional type 1 diabetes risk loci.	Type 1 diabetes	type i diabetes mellitus	"3,561 European ancestry cases4,646 European ancestry controls"	"6,225 European ancestry cases6,946 European ancestry controls3,064 European ancestry trios from 2,828 families"	14	EUR	1
Grant SF	GCST000244	10/7/08	Diabetes	Follow-up analysis of genome-wide association data identifies novel loci for type 1 diabetes.	Type 1 diabetes	type i diabetes mellitus	"563 European ancestry cases1,146 European ancestry controls483 European ancestry trios"	"3,303 European ancestry cases4,673 European ancestry controls"	5	EUR	1
Hakonarson H	GCST000054	7/15/07	Nature	A genome-wide association study identifies KIAA0350 as a type 1 diabetes gene.	Type 1 diabetes	type i diabetes mellitus	"467 European ancestry trios561 European ancestry cases1,143 European ancestry controls"	"390 European ancestry trios1,333 European ancestry cases from 549 families"	4	EUR	1
Todd JA	GCST000038	6/6/07	Nat Genet	Robust associations of four new chromosome regions from genome-wide analyses of type 1 diabetes.	Type 1 diabetes	type i diabetes mellitus	"2,000 European ancestry cases3,000 European ancestry controls"	"2,997 European ancestry trios4,000 European ancestry cases5,000 European ancestry controls"	12	EUR	1
Broce I	GCST005322	1/9/18	PLoS Med	Immune-related genetic enrichment in frontotemporal dementia: An analysis of genome-wide association studies.	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	"corticobasal degeneration, celiac disease, crohn's disease, psoriasis, rheumatoid arthritis, type i diabetes mellitus, ulcerative colitis"	"152 corticobasal degeneration cases3,311 controls51,109 Crohn's disease cases and controls26,405 ulcerative colitis cases and controls25,708 rheumatoid arthritis cases and controls16,559 type 1 diabetes cases and controls,15,283 celiac disease cases and controls7,484 psoriasis cases and controls"	NA	0	EUR	1
Broce I	GCST005321	1/9/18	PLoS Med	Immune-related genetic enrichment in frontotemporal dementia: An analysis of genome-wide association studies.	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	"amyotrophic lateral sclerosis, celiac disease, crohn's disease, psoriasis, rheumatoid arthritis, type i diabetes mellitus, ulcerative colitis"	"12,577 amyotrophic lateral sclerosis cases23,475 controls51,109 Crohn's disease cases and controls26,405 ulcerative colitis cases and controls25,708 rheumatoid arthritis cases and controls16,559 type 1 diabetes cases and controls,15,283 celiac disease cases and controls7,484 psoriasis cases and controls"	NA	0	EUR	1
Broce I	GCST005320	1/9/18	PLoS Med	Immune-related genetic enrichment in frontotemporal dementia: An analysis of genome-wide association studies.	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	"celiac disease, crohn's disease, progressive supranuclear palsy, psoriasis, rheumatoid arthritis, type i diabetes mellitus, ulcerative colitis"	"1,114 progressive supranuclear palsy cases3,247 controls51,109 Crohn's disease cases and controls26,405 ulcerative colitis cases and controls25,708 rheumatoid arthritis cases and controls16,559 type 1 diabetes cases and controls,15,283 celiac disease cases and controls7,484 psoriasis cases and controls"	NA	0	EUR	1
Onengut-Gumuscu S	GCST005536	4/1/15	Nat Genet	Fine mapping of type 1 diabetes susceptibility loci and evidence for colocalization of causal variants with lymphoid gene enhancers.	Type 1 diabetes	type i diabetes mellitus	"6,683 European ancestry cases12,173 European ancestry controls2,601 European ancestry affected sibling pair families69 European ancestry trios"	NA	51	EUR	1
Sambo F	GCST002464	5/29/14	Diabetologia	Novel genetic susceptibility loci for diabetic end-stage renal disease identified through robust naive Bayes classification.	End-stage renal disease or diabetic nephropathy in type 1 diabetes	"diabetic nephropathy, type i diabetes mellitus, chronic kidney disease"	"661 European ancestry End-stage renal disease cases694 European ancestry Diabetic nephropathy cases472 European ancestry Microalbuminuria cases1,637 European ancestry controls"	92 End-stage renal disease cases345 Diabetic nephropathy cases135 Microalbuminuria cases370 controls	0	EUR	1
Barrett JC	GCST000392	5/10/09	Nat Genet	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.	Type 1 diabetes	type i diabetes mellitus	"7,514 European ancestry cases9,045 European ancestry controls"	"4,267 European ancestry cases4,670 European ancestry controls4,342 European ancestry trios from 2,319 families"	38	EUR	1
Liu JZ	GCST005563	6/1/13	Nat Genet	Dense genotyping of immune-related disease regions identifies nine new risk loci for primary sclerosing cholangitis.	"Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)"	"celiac disease, crohn's disease, psoriasis, rheumatoid arthritis, sarcoidosis, sclerosing cholangitis, type i diabetes mellitus, ulcerative colitis"	"6,333 European ancestry Crohn's disease cases4,533 European ancestry celiac disease cases2,529 European ancestry psoriasis cases5,539 European ancestry rheumatoid arthritis cases568 European ancestry sarcoidosis cases7,514 European ancestry type I diabetes cases6,687 European ancestry ulcerative colitis cases3,789 European ancestry sclerosing cholangitis cases106,357 European ancestry controls"	NA	0	EUR	1
Li YR	GCST003097	8/24/15	Nat Med	Meta-analysis of shared genetic architecture across ten pediatric autoimmune diseases.	Pediatric autoimmune diseases	"ankylosing spondylitis, autoimmune disease, autoimmune thyroid disease, celiac disease, chronic childhood arthritis, common variable immunodeficiency, crohn's disease, psoriasis, systemic lupus erythematosus, type i diabetes mellitus, ulcerative colitis"	"97 European ancestry thyroiditis cases107 European ancestry ankylosing spondylitis cases100 European ancestry psoriasis cases173 European ancestry celiac disease cases254 European ancestry systemic lupus erythematosus cases308 European ancestry common variable inmunodeficiency cases865 European ancestry ulcerative colitis cases1,086 European ancestry Type 1 diabetes cases1,123  European ancestry juvenile idiopathic arthritis cases1,922  European ancestry Crohn's disease cases10,718 European ancestry controls"	NA	46	EUR	1
Wellcome Trust Case Control Consortium	GCST000043	6/7/07	Nature	"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls."	Type 1 diabetes	type i diabetes mellitus	"1,963 European ancestry cases2,938 European ancestry controls"	(see Todd 2007)	10	EUR	1
Sandholm N	GCST002382	3/5/14	Diabetologia	Genome-wide association study of urinary albumin excretion rate in patients with type 1 diabetes.	Urinary albumin excretion rate in type 1 diabetes	urinary albumin excretion rate	1925 European	3750 European	2	EUR	1
